Configuração,Alpha,Gamma,Epsilon Start,Decay Step,Recompensa Média,Desvio Padrão,Época de Convergência,Estabilidade Final
Setup 1,0.01,0.9,0.2,50000,0.592268,0.6609710857337106,159,0.0
Setup 2,0.005,0.85,0.2,50000,0.6071479999999999,0.6458816811893646,9,0.0
Setup 3,0.1,0.95,0.3,100000,0.515228,0.6724100742969278,9,0.0
Setup 4,0.001,0.5,0.2,50000,0.41768999999999995,0.7918115583268535,9,0.27272728085517883
Setup 5,0.005,0.8,0.1,25000,0.6701980000000002,0.5896240164681218,73,0.0
