Configuração,Alpha,Gamma,Epsilon Start,Decay Step,Recompensa Média,Desvio Padrão,Época de Convergência,Estabilidade Final
Setup 1,0.01,0.9,0.2,50000,0.6045536,0.6503469602658569,275,0.0
Setup 2,0.005,0.85,0.2,50000,0.6065848,0.6465175143868571,9,0.0
Setup 3,0.1,0.95,0.3,100000,0.51355,0.6716574703671507,9,0.0
Setup 4,0.001,0.5,0.2,50000,0.4699192,0.7931038428045599,9,0.0
Setup 5,0.005,0.8,0.1,25000,0.6711759999999999,0.5897964606743585,23,0.0
